Entreprise|||Lien|||Contact|||Localisation|||Ville|||Collège|||Activités
Lycée la Tourrache|||https://www.lyceetourrache.com/|||direction.latourrache@gmail.com|||Provence-Alpes-Côte d'Azur|||La Garde|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral
MacArtney France|||https://www.macartney.com|||mac-fr@macartney.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines
MAGELLIUM SAS|||http://www.magellium.com|||contact@magellium.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Mape Tech|||https://www.mapetech.com/|||mape.tech20@gmail.com|||not provided|||Propriano|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
MARBEC|||http://www.umr-marbec.fr/|||not provided|||not provided|||not provided|||Centre de recherche et de formation|||Ressources biologiques marines---Environnement et valorisation du littoral
MAREPOLIS|||http://www.marepolis.fr|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||Port-La-Nouvelle|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
MARINE ASSISTANCE|||http://www.marine-assistance.com/contact/|||contact@marine-assistance.com|||Languedoc-Roussillon-Midi-Pyrénées|||La Rochelle|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
MARINE LEVAGE|||http://www.marine-levage.com|||cae@marine-levage.com|||Provence-Alpes-Côte d'Azur|||La Farlède|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Marine Logistics Solutions|||https://marinelog-solution.fr/fr/|||a.decarmejane@marinelog-solution.fr|||not provided|||Marseille|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
MARINE TECH|||http://www.marinetech.fr|||contact@marinetech.fr|||Provence-Alpes-Côte d'Azur|||Signes|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
MARINOV|||http://www.marinov.fr/|||contact.info@marinov.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
Mariteam Services|||https://www.mariteamservices.com/|||contact@mariteamservices.com|||not provided|||Marseille|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
MArNostra Holding|||http://www.marnostra.com/|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Ressources biologiques marines
Marseille Architecture Partenaires|||http://map-architecture.mapgroupe.fr/|||not provided|||not provided|||Marseille|||not provided|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
MARSEILLE GYPTIS INTERNATIONAL|||https://www.mgi-ci5.com/|||contact@gyptis.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Groupe|||Ports, logistique et transports maritimes
MAURIC|||https://www.mauric.ecagroup.com/|||b.mauric@wanadoo.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
MERCATOR OCEAN|||http://www.mercator-ocean.fr/|||communication@mercator-ocean.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Ramonville-Saint-Agne|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral
MGH ENERGY STORAGE|||http://www.mgh-energy.com/|||contact@mgh-energy.com|||not provided|||Pérols|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
MGPS|||https://www.mgps.info/|||christian.taormina@mgps.info|||Provence-Alpes-Côte d'Azur|||Port-Saint-Louis-du-Rhône|||PME|||Défense, Sécurité et sûreté maritimes
MICROPHYT|||http://www.microphyt.eu/|||contact@microphyt.eu|||Languedoc-Roussillon-Midi-Pyrénées|||Baillargues|||PME|||Ressources biologiques marines
MOBILIS|||http://mobilis-sa.com/|||juniet@mobilis-sa.com|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
MODIS|||https://www.modisfrance.fr/|||not provided|||not provided|||not provided|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
MORPHOSENSE|||https://morphosense.com/|||not provided|||not provided|||Le Bourget-du-Lac|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
NATFresh Process SAS|||http://www.eco-refroidissement.com|||philipe.vitel@natfreshprocess.com|||not provided|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
Naturegie SAS|||https://www.nuclearvalley.com/|||not provided|||not provided|||Chalon-sur-Saône|||PME|||Ressources énergétiques et minières marines
NAUTICSPOT|||https://www.nauticspot.fr/|||contact@nauticspot.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
NAUTINOV|||https://www.nautinov.com/fr|||not provided|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
NAVAL ENERGIES|||https://www.naval-energies.com/fr/|||not provided|||not provided|||Paris|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Naval group Site Ollioules|||https://www.naval-group.com/fr/|||not provided|||not provided|||Paris|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
Naval Group Toulon|||https://www.naval-group.com/fr/|||not provided|||not provided|||Toulon|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
NEAC INDUSTRY|||https://www.portdufutur.fr/|||not provided|||not provided|||Margny-Lès-Compiègne|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
NEMIS Ingénierie|||https://www.groupe-fiva.com/|||contact@groupe-fiva.com|||not provided|||Cherbourg-en-Cotentin​|||not provided|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
NEOCEAN|||https://www.neocean.com/|||vincentdufour@neocean.com|||not provided|||Montpellier|||PME|||Naval et nautisme---Environnement et valorisation du littoral
NEPTUNEO MOBILITY|||not provided|||contact@nautiquelec.com|||not provided|||not provided|||PME|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
NEREO TECHNOLOGIES|||not provided|||contact@nereotech.com|||Pays de la Loire|||not provided|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
NEURO SYS|||https://www.neuro-sys.com/|||info@neuro-sys.com|||Provence-Alpes-Côte d'Azur|||Gardanne|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines
NEX VISION SAS|||http://nexvision.fr/fr/|||jean-florian.bacquey@nexvision.fr|||not provided|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
NEXEYA France|||http://www.nexeya.com|||philippe.platet@nexeya.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
NEXT BLUE TECH|||https://www.nextblue.tech/|||newsletter@nextblue.tech|||Provence-Alpes-Côte d'Azur|||Châteauneuf-le-Rouge|||PME|||Naval et nautisme---Environnement et valorisation du littoral
NIDEC|||https://www.nidec-industrial.com/|||eric.rizzo@nidec-asi.com|||not provided|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
NOTILO PLUS SAS|||https://ibubble.camera/fr|||contact@ibubble.camera|||Auvergne-Rhône-Alpes|||Villeurbanne|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
NOVACHIM/CRITT CHIMIE|||https://www.novachim.fr/|||contact@novachim.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
NOVAE/LCI|||https://novae-aerospace.com|||not provided|||Ile-de-France|||not provided|||Groupe|||Naval et nautisme
NOVELTIS|||https://www.noveltis.fr/|||richard.bru@noveltis.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Labège|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
NSE Industries|||http://www.nse-groupe.com/|||toulon@nse-groupe.com|||not provided|||Nizerolles|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
O5 Marine SAS|||http://www.o5marine.com/|||contact@o5marine.com|||not provided|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
Observatoire Océanologique de Banyuls|||https://www.obs-banyuls.fr/|||directeur@obs-banyuls.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines
Ocean Innovation Tour|||https://ocean-innovaton.org/|||team@ocean-innovation.org|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
OCEANIDE|||http://oceanide.net/|||fpetrie@oceanide.net|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
OCERGIE SAS|||https://www.ocergy.com/|||ccermerlli@ocergy.com|||not provided|||Aix-en-Provence|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines
OL & DI Consulting|||http://oldi.fr/|||benjamin.lassalle@oldi.fr|||Ile-de-France|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
OONO|||http://www.oono.fr|||contact@onoo.fr|||not provided|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
OOV – Laboratoire LOV|||http://www.obs-vlfr.fr/|||lov@obs-vlfr.fr|||Provence-Alpes-Côte d'Azur|||Villefranche-sur-Mer|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines
Opération Maintenance Expertise (O&M.Ex)|||http://omex-sarl.e-monsite.com/|||not provided|||not provided|||not provided|||not provided|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
OPSIA|||https://www.opsia.fr|||contact@opsia.fr|||not provided|||Toulon|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
OPTIS|||http://www.optis-world.com/fr|||jdelacour@optis-world.com|||Provence-Alpes-Côte d'Azur|||La Farlède|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
ORION NAVAL SOLUTIONS|||http://www.orion-naval.solutions|||contact@orion-naval.solutions|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Naval et nautisme
ORPHEUS|||http://www.orpheus.fr|||hbarthel@orpheus.fr|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
OSEAN|||http://www.osean.fr/|||olivier.philippe@osean.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
OSMOS GROUP|||https://www.osmos-group.com/|||info@osmos-group.com|||not provided|||Paris|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
OTHIS Formation|||https://othis-formation.fr/|||contact@othis-formation.com|||not provided|||Carros|||Ecosystème|||Ports, logistique et transports maritimes
Out There|||http://out-there.fr|||ariel.fuchs@out-there.fr|||not provided|||La Grande-Motte|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
OUTREMER YACHTING|||http://www.catamaran-outremer.com|||contact@catamaran-outremer.com|||Languedoc-Roussillon-Midi-Pyrénées|||La Grande-Motte|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
P2A Développement|||http://www.p2adev.com/|||P2adev@wanadoo.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Villeneuve-lès-Maguelone|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines
PACIFICDROID|||not provided|||not provided|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
PAIR WORK|||https://pair-work.weebly.com|||contact@pair-work.com|||Provence-Alpes-Côte d'Azur|||Toulon|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
Parc National Port Cros|||http://www.portcros-parcnational.fr/|||giulia.azzolini@portcros-parcnational.fr|||not provided|||Hyères|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral
PERFECT MOORING|||http://perfectmooring.com/|||info@perfectmooring.com|||Provence-Alpes-Côte d'Azur|||Cogolin|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Petra Corsica Patrimonia|||http://www.petrapatrimonia-corse.com/|||contact@petrapatrimonia-corse.com|||not provided|||Bastia|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
PETRA MARITIMA|||https://cde-petrapatrimonia.com/accueil|||contact@cde-petrapatrimonia.com|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
PHOTOSPACE|||not provided|||not provided|||not provided|||not provided|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines---Ports, logistique et transports maritimes
PLANETE MER|||http://www.planetemer.org/|||not provided|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Environnement et valorisation du littoral
PLANITEC|||https://www.planitec.setec.fr/|||info@planitec.setec.fr|||Ile-de-France|||Paris|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
POLE AVENIA|||http://www.pole-avenia.com/|||caroline.duc@pole-avenia.com|||Languedoc-Roussillon-Midi-Pyrénées|||Pau|||Ecosystème|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
PREDICT|||https://www.predict.fr/|||Jean-Baptiste.Leger@predict.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
PRINCIPIA RD|||http://www.principia-group.com/|||benoit.demoulliac@principia.fr|||Provence-Alpes-Côte d'Azur|||La Ciotat|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
PRINCIPLE POWER|||http://www.principlepowerinc.com/|||info@principlepowerinc.com|||not provided|||Aix-en-Provence|||PME|||Ressources énergétiques et minières marines
PROLARGE|||http://prolarge.fr|||guillaume.d-arcimoles@prolarge.fr|||Bretagne|||not provided|||PME|||Défense, Sécurité et sûreté maritimes
PROLEXIA|||http://prolexia.fr/fr/|||snicolas@prolexia.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Défense, Sécurité et sûreté maritimes
PROPULSION ENGINEERING|||http://propulsion-engineering.fr|||contact@propulsion-engineering.fr|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes
PURE OCEAN|||https://www.pure-ocean.org|||laura@pure-ocean.org|||not provided|||not provided|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral
PYTHEAS Technology|||http://pytheas-technology.com/|||contact@pytheas-technology.com|||not provided|||Meyreuil|||PME|||Ressources énergétiques et minières marines
Quadran Energies Marines|||https://www.quadran-marines.com/|||contact@quadran-marines.com|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
QUINTESSENCE FORMATION|||http://quintessence-formation.com/|||s.sekkiou@quintessence-formation.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
QUO VADIS|||http://www.quovadis.pro/|||diane.borgetto@quovadis.pro|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Naval et nautisme
QWAM|||http://www.qwamci.com/|||info@qwamci.com|||not provided|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
RACINE|||http://www.racinegroup.com/|||daniel.cousin@racinegroup.com|||not provided|||Vitry-sur-Seine|||Groupe|||Défense, Sécurité et sûreté maritimes
Radar Communication Services SARL|||http://www.radar-communication-services.com|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes
RENAUD-GOUD conseil|||http://www.renaudgoudconseil.com/|||mail@renaudgoudconseil.com|||not provided|||Aix-en-Provence---Marseille|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines
REP|||http://www.rep.fr/|||nicolas.tramier@rep.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
RIVAGE|||not provided|||rivage.c@free.com|||not provided|||not provided|||Ecosystème|||Naval et nautisme
RTE Réseau de transport d’électricité|||http://www.rte-france.com|||jean-philippe.bonnet@rte-france.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
RTSYS|||https://rtsys.eu/|||sales@rtsys.fr|||not provided|||Caudan|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SAFEGE|||http://www.safege.fr|||sabine.hugounenc@safege.fr|||Ile-de-France|||La Défense|||Groupe|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SAFETY DATA - CFH|||http://www.safety-data.com/|||contact@safety-data.com|||Languedoc-Roussillon-Midi-Pyrénées|||Toulouse|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
SAFIM|||https://www.safim.com/|||a.gallone@safim.com|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
SAILEAZY|||https://www.saileazy.com/|||contact@saileazy.com|||not provided|||Marseille|||PME|||Ports, logistique et transports maritimes
SAKOWIN SAS|||https://www.naturegie.com/|||gerard@naturegie.com|||Provence-Alpes-Côte d'Azur|||Fréjus|||PME|||Ressources énergétiques et minières marines
SARL Les Poissons du Soleil|||https://www.groupeaqualande.com/|||aqualande@aqualande.com|||Languedoc-Roussillon-Midi-Pyrénées|||Roquefort|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SARL SCOP RIVAGES|||http://www.wavesnsee.com|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SB&CIE|||http://www.salesbuilder.online/|||patricksallen.upseed@gmail.com|||not provided|||not provided|||not provided|||Naval et nautisme---Environnement et valorisation du littoral
SBM FRANCE SAS|||https://www.sbmoffshore.com/|||contact@sbmoffshore.com|||Provence-Alpes-Côte d'Azur|||Carros|||Groupe|||Ressources énergétiques et minières marines
SCHNEIDER ELECTRIC|||https://www.se.com/fr/fr/|||not provided|||not provided|||not provided|||Groupe|||Naval et nautisme---Ports, logistique et transports maritimes
SCP Imavocats/Inglese|||https://www.imavocats.fr/|||contact@imavocats.fr|||not provided|||Toulon|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
SEA2|||https://www.orange-marine.com/|||gregory.florin@orange-marine.com|||Provence-Alpes-Côte d'Azur|||La Ciotat|||PME|||Naval et nautisme
SEABOOST|||http://www.seaboost.fr/|||contact@seaboost.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||Groupe|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SEAGNAL|||http://www.seagnal.fr/|||seagnal@seagnal.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
SEAMAGINE ECO NAVIGATION|||http://www.seazen.fr|||guillaume@seazen.fr|||not provided|||Nice|||PME|||Naval et nautisme
SEANEO|||https://www.seaneo.com/|||nicolas.dalias@seaneo.com|||Languedoc-Roussillon-Midi-Pyrénées|||Perpignan|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SEAREKA SAS|||http://www.seareka.com|||contact@seareka.com|||Provence-Alpes-Côte d'Azur|||not provided|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
SEAROV offshore|||http://www.searov-offshore.fr|||contact@searov-offshore.com|||Languedoc-Roussillon-Midi-Pyrénées|||Frontignan|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SEATECH|||http://www.seatech.fr/|||pierre.haldenwang@univ-tln.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SEAVIEWS|||http://www.viala@seaviews.fr|||contact@seaviews.fr|||not provided|||La Ciotat|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SEGULA Technologies|||https://www.segulatechnologies.com/fr/|||Emilie.dubos@segula.fr|||Ile-de-France|||not provided|||Groupe|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SEMANTIC TS|||http://www.semantic-ts.fr/|||noel@semantic-ts.fr|||Provence-Alpes-Côte d'Azur|||Sanary-sur-Mer|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SEPTENTRION ENVIRONNEMENT|||http://www.septentrion-env.com|||contact@septentrion-env.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral
SERAMM|||http://www.seram-metropole.fr/|||not provided|||not provided|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SERELEC|||http://www.serelec-usinage.fr|||serelec@wanadoo.fr|||not provided|||La Seyne-sur-Mer|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SETAVOO|||http://www.setavoo.fr/|||contact@setavoo.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Environnement et valorisation du littoral
SHOM|||http://www.shom.fr|||not provided|||not provided|||Brest|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SIGNALIS|||https://www.signalis.com|||fabien.sire@signalis.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes
SII|||http://www.groupe-sii.com/fr|||araguenet@sii.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
SIMEC|||http://www.simec-technologies.com/|||georges.denis.conigliaro@simec-sa.fr|||Provence-Alpes-Côte d'Azur|||Fuveau|||PME|||Ressources énergétiques et minières marines
SINOPIA|||http://www.sinopia.co.il/|||info@sinopia.co.il|||not provided|||not provided|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SMAC|||not provided|||philippe.robert@smac.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
SMART LIGHTING ALLIANCE|||not provided|||contact@smartlightingalliance.org|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Smart Sailors|||https://smartsailors.net/|||contact@smartsailors.net|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ports, logistique et transports maritimes
SMAT NEPTUNE Environnement|||https://www.ancrage-ecologique-harmony.fr/|||neptune.env@wanadoo.fr|||Provence-Alpes-Côte d'Azur|||Bormes-les-Mimosas|||PME|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SOACSY|||http://www.soacsy.com/|||pplantevin@soacsy.com|||Provence-Alpes-Côte d'Azur|||Arles|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
SOCIETE DE CONSTRUCTIONS COMPOSITES|||http://chantier-scc.com/|||info@chantier-scc.com|||Languedoc-Roussillon-Midi-Pyrénées|||Balaruc-les-bains|||PME|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SODEAL|||http://www.port-capdagde.com/|||contact@sodeal.fr|||not provided|||Le Cap d'Agde|||Groupe|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SOFRESUD|||https://www.sofresud.com/|||balhadef@sofresud.com|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Défense, Sécurité et sûreté maritimes
SOGEDEV|||https://www.sogedev.com/|||alecki@sogedev.com|||not provided|||Issy-les-Moulineaux|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SOLARINBLUE|||https://www.solarinblue.com/|||marc@solarinblue.com|||not provided|||Paris|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SONOVISION TOULON|||https://www.sonovisiongroup.com/|||jean-luc.delahaigue@sonovision-itep.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
SOPHIA CONSEIL|||https://www.sophiaengineering.com/|||not provided|||Provence-Alpes-Côte d'Azur|||Sophia Antipolis|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
SOPROMEC|||http://meca-sopromec.com/|||direction@meca-sopromec.com|||not provided|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
SOSERSID|||not provided|||contact@sosersid.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
